iter	Passed	Remaining
246	370	1130
247	372	1129
248	373	1127
249	374	1123
250	375	1121
251	377	1120
252	379	1120
253	381	1121
254	383	1120
255	384	1117
256	385	1114
257	386	1111
258	387	1108
259	388	1105
260	389	1102
261	390	1098
262	390	1095
263	391	1092
264	393	1090
265	394	1087
266	395	1084
267	395	1081
268	396	1078
269	397	1075
270	398	1072
271	400	1070
272	401	1067
273	401	1065
274	402	1062
275	403	1059
276	404	1056
277	405	1053
278	406	1051
279	408	1050
280	409	1048
281	410	1045
282	411	1042
283	412	1040
284	413	1037
285	414	1034
286	415	1032
287	416	1029
288	417	1026
289	418	1024
290	419	1021
291	420	1019
292	421	1016
293	423	1016
294	424	1014
295	425	1012
296	426	1009
297	427	1007
298	428	1004
299	429	1001
300	430	999
301	431	996
302	432	994
303	433	991
304	434	989
305	435	986
306	435	984
307	437	982
308	438	980
309	439	978
310	440	976
311	441	973
312	442	971
313	443	968
314	444	966
315	445	963
316	446	961
317	446	958
318	447	956
319	448	953
320	449	950
321	450	948
322	451	946
323	453	945
324	454	942
325	454	940
326	455	938
327	456	935
328	458	935
329	459	932
330	460	930
331	461	927
332	462	925
333	462	922
334	463	920
335	464	918
336	465	916
337	467	916
338	469	914
339	470	912
340	471	910
341	472	908
342	473	906
343	474	904
344	475	902
345	476	900
346	477	898
347	478	897
348	479	894
349	480	893
350	482	891
351	483	889
352	484	888
353	485	885
354	486	883
355	487	881
356	488	879
357	489	878
358	491	877
359	492	875
360	493	873
361	494	870
362	495	869
363	497	868
364	498	866
365	499	864
366	499	862
367	500	860
368	502	858
369	504	859
370	505	857
371	506	855
372	508	854
373	509	852
374	510	850
375	511	849
376	512	847
377	513	845
378	514	843
379	515	841
380	516	839
381	517	837
382	519	836
383	520	835
384	521	833
385	523	832
386	524	830
387	525	829
388	527	828
389	528	826
390	529	824
391	530	822
392	531	820
393	532	818
394	533	817
395	535	816
396	536	815
397	537	813
398	539	812
399	540	810
400	542	809
401	543	807
402	544	806
403	545	805
404	546	803
405	547	801
406	549	800
407	550	798
408	551	797
409	552	795
410	553	793
411	555	792
412	556	791
413	557	789
414	558	787
415	559	786
416	561	784
417	562	782
418	562	780
419	564	778
420	564	777
421	566	775
422	567	774
423	569	773
424	570	772
425	572	770
426	572	768
427	574	767
428	575	765
429	576	763
430	577	762
431	579	762
432	580	760
433	581	758
434	584	758
435	585	756
436	586	755
437	587	754
438	588	752
439	590	751
440	591	749
441	592	748
442	593	746
443	594	745
444	596	743
445	597	742
446	598	740
447	600	739
448	601	738
449	602	736
450	603	734
451	604	733
452	605	731
453	606	729
454	607	727
455	607	725
456	609	723
457	610	721
458	611	720
459	611	718
460	613	716
461	614	716
462	616	714
463	617	712
464	618	711
465	618	709
466	619	707
467	621	706
468	623	705
469	624	704
470	625	702
471	626	700
472	627	699
473	629	698
474	630	696
475	631	694
476	632	693
477	633	691
478	634	690
479	635	688
480	636	687
481	637	685
482	638	683
483	640	682
484	640	680
485	642	679
486	644	678
487	646	677
488	648	678
489	652	679
490	653	677
491	655	676
492	656	675
493	658	674
494	660	673
495	661	672
496	662	670
497	663	668
498	664	666
499	665	665
500	666	664
501	667	662
502	668	660
503	669	659
504	670	657
505	672	656
506	674	656
507	675	654
508	676	652
509	678	652
510	680	650
511	681	649
512	682	647
513	683	645
514	684	644
515	685	642
516	686	641
517	688	640
518	690	639
519	691	638
520	692	637
521	693	635
522	695	634
523	697	633
524	698	632
525	699	630
526	700	628
527	701	627
528	703	625
529	704	624
530	705	623
531	706	621
532	707	619
533	708	617
534	709	616
535	710	615
536	711	613
537	712	611
538	712	609
539	713	607
540	714	606
541	715	604
542	716	603
543	718	602
544	719	600
545	720	599
546	722	598
547	723	596
548	724	595
549	725	593
550	726	591
551	727	590
552	727	588
553	729	587
554	730	585
555	731	584
556	733	583
557	735	582
558	737	581
559	738	580
560	741	580
561	744	579
562	746	579
563	749	579
564	751	578
565	753	577
566	755	576
567	757	575
568	758	574
569	760	573
570	762	573
571	764	572
572	767	571
573	769	571
574	771	570
575	773	569
576	775	568
577	778	568
578	781	568
579	783	567
580	786	567
581	788	565
582	790	565
583	793	565
584	795	564
585	797	563
586	798	562
587	800	560
588	802	559
589	803	558
590	805	557
591	807	556
592	809	555
593	812	555
594	813	553
595	815	552
596	816	551
597	819	550
598	822	550
599	827	551
600	829	550
601	831	550
602	833	548
603	838	549
604	841	549
605	845	550
606	848	549
607	850	548
608	853	547
609	855	546
610	858	546
611	868	550
612	872	550
613	875	550
614	878	550
615	880	549
616	882	547
617	884	546
618	893	549
619	894	548
620	895	546
621	896	544
622	898	543
623	900	542
624	902	541
625	903	539
626	904	538
627	905	536
628	906	534
629	908	533
630	909	531
631	910	530
632	911	528
633	912	526
634	913	525
635	915	523
636	916	522
637	917	520
638	919	519
639	920	517
640	921	516
641	923	514
642	924	513
643	925	511
644	926	509
645	928	508
646	929	507
647	932	506
648	934	505
649	936	504
650	937	502
651	938	500
652	939	499
653	940	497
654	942	496
655	944	495
656	946	494
657	949	493
658	950	491
659	952	490
660	954	489
661	955	487
662	956	486
663	957	484
664	962	484
665	963	483
666	965	481
667	966	480
668	967	478
669	968	476
670	969	475
671	970	473
672	971	472
673	973	470
674	975	469
675	976	468
676	978	466
677	979	465
678	980	463
679	982	462
680	983	460
681	984	458
682	985	457
683	986	455
684	987	454
685	989	452
686	991	451
687	993	450
688	994	448
689	995	447
690	997	446
691	998	444
692	1000	443
693	1001	441
694	1003	440
695	1006	439
696	1008	438
697	1009	436
698	1011	435
699	1012	433
700	1013	432
701	1014	430
702	1015	429
703	1018	428
704	1020	427
705	1021	425
706	1023	424
707	1024	422
708	1025	420
709	1026	419
710	1027	417
711	1028	416
712	1029	414
713	1030	412
714	1031	411
715	1033	409
716	1034	408
717	1035	406
718	1037	405
719	1038	403
720	1039	402
721	1040	400
722	1041	399
723	1042	397
724	1043	395
725	1045	394
726	1046	392
727	1048	391
728	1050	390
729	1051	388
730	1053	387
731	1054	386
732	1056	384
733	1057	383
734	1058	381
735	1059	380
736	1060	378
737	1061	376
738	1063	375
739	1064	373
740	1065	372
741	1066	370
742	1068	369
743	1069	368
744	1070	366
745	1071	364
746	1072	363
747	1073	361
748	1074	360
749	1075	358
750	1076	356
751	1078	355
752	1079	354
753	1080	352
754	1082	351
755	1083	349
756	1084	348
757	1085	346
758	1086	344
759	1087	343
760	1088	341
761	1089	340
762	1089	338
763	1091	337
764	1092	335
765	1094	334
766	1095	332
767	1096	331
768	1097	329
769	1098	328
770	1099	326
771	1100	325
772	1101	323
773	1102	321
774	1103	320
775	1104	318
776	1105	317
777	1105	315
778	1107	314
779	1109	312
780	1110	311
781	1111	309
782	1112	308
783	1113	306
784	1114	305
785	1115	303
786	1116	302
787	1117	300
788	1118	299
789	1119	297
790	1120	296
791	1122	294
792	1123	293
793	1124	291
794	1125	290
795	1127	288
796	1128	287
797	1129	285
798	1130	284
799	1131	282
800	1132	281
801	1133	279
802	1134	278
803	1135	276
804	1136	275
805	1138	273
806	1139	272
807	1140	271
808	1142	269
809	1143	268
810	1144	266
811	1145	265
812	1145	263
813	1146	262
814	1147	260
815	1148	259
816	1149	257
817	1151	256
818	1152	254
819	1154	253
820	1155	251
821	1157	250
822	1158	249
823	1159	247
824	1159	246
825	1160	244
826	1161	243
827	1162	241
828	1163	240
829	1164	238
830	1165	237
831	1167	235
832	1168	234
833	1169	232
834	1170	231
835	1171	229
836	1172	228
837	1173	226
838	1174	225
839	1175	223
840	1176	222
841	1177	220
842	1178	219
843	1179	217
844	1180	216
845	1181	215
846	1182	213
847	1184	212
848	1184	210
849	1186	209
850	1187	207
851	1187	206
852	1188	204
853	1189	203
854	1190	201
855	1191	200
856	1192	198
857	1193	197
858	1194	196
859	1195	194
860	1196	193
861	1197	191
862	1198	190
863	1200	188
864	1200	187
865	1202	186
866	1203	184
867	1204	183
868	1205	181
869	1206	180
870	1208	178
871	1209	177
872	1210	176
873	1212	174
874	1213	173
875	1214	171
876	1216	170
877	1217	169
878	1218	167
879	1219	166
880	1220	164
881	1221	163
882	1222	161
883	1223	160
884	1225	159
885	1226	157
886	1228	156
887	1229	155
888	1230	153
889	1231	152
890	1233	150
891	1233	149
892	1234	147
893	1235	146
894	1236	145
895	1238	143
896	1238	142
897	1240	140
898	1241	139
899	1243	138
900	1245	136
901	1246	135
902	1247	133
903	1248	132
904	1248	131
905	1250	129
906	1250	128
907	1251	126
908	1252	125
909	1254	124
910	1255	122
911	1257	121
912	1258	119
913	1259	118
914	1260	117
915	1262	115
916	1263	114
917	1264	112
918	1265	111
919	1266	110
920	1267	108
921	1268	107
922	1270	106
923	1271	104
924	1272	103
925	1274	101
926	1275	100
927	1276	99
928	1277	97
929	1278	96
930	1279	94
931	1281	93
932	1282	92
933	1283	90
934	1285	89
935	1286	87
936	1288	86
937	1290	85
938	1291	83
939	1292	82
940	1294	81
941	1295	79
942	1297	78
943	1299	77
944	1302	75
945	1305	74
946	1307	73
947	1308	71
948	1310	70
949	1312	69
950	1314	67
951	1317	66
952	1321	65
953	1324	63
954	1325	62
955	1329	61
956	1331	59
957	1336	58
958	1338	57
959	1341	55
960	1343	54
961	1347	53
962	1350	51
963	1353	50
964	1356	49
965	1359	47
966	1362	46
967	1370	45
968	1373	43
969	1376	42
970	1379	41
971	1382	39
972	1384	38
973	1386	37
974	1388	35
975	1391	34
976	1394	32
977	1396	31
978	1399	30
979	1401	28
980	1402	27
981	1410	25
982	1412	24
983	1414	23
984	1417	21
985	1420	20
986	1423	18
987	1425	17
988	1427	15
989	1429	14
990	1431	12
991	1432	11
992	1434	10
993	1435	8
994	1437	7
995	1439	5
996	1442	4
997	1444	2
998	1445	1
999	1447	0
